id,qid1,qid2,question1,question2,is_duplicate
1509,3003,3004,How can I Publish Theses on dentistry on International Library for thesis?,How can I Publish Theses on Education on International Library for thesis?,0
1510,3005,3006,What are some Cyanide and Happiness comics on countries?,What are the best Cyanide & Happiness comics?,1
1511,3007,3008,"If 204=8, 503=13, 305=11 and 907=25, what is 705?",Why can I not multiply fractions in Python?,0
1512,3009,3010,What are the drawbacks of Network Address Translation (NAT) that are overcome by IP masquerading?,What does NAT stand for?,0
1513,3011,3012,"If cold air is denser than hot air, then why does the temperature decrease as the altitude rises?",Physics: Why is polluted air denser than cold air?,0
1514,3013,3014,How do lymph nodes form?,What are lymph nodes?,0
1515,3015,3016,How can I buy Tesla shares / stock?,How do I buy stocks?,0
1516,3017,3018,"In the world, we are second largest country in terms of population, but we win only very few medals in the Olympics. Why?","If India is the second largest in population, why do they not have Olympic medals like China or the US?",1
1517,3019,3020,What's your favourite meal?,What is your favourite meal and why?,1
1518,3021,3022,Where can I find a list of companys I could possibly buy stocks in?,"I want to connect with you, how can I do that?",0
1519,3023,3024,Which pizzas are the most popularly ordered pizzas on Domino's menu?,How many calories does a Dominos pizza have?,0
1520,3025,3026,What is the power nine in magic?,What are the Power 9 cards in Magic: The Gathering?,0
1521,3027,3028,What are some good books for JEE Mains only?,What are the best books to practice for JEE mains only?,1
1522,3029,3030,Why are the Seven Wonders of the World referred to as Wonders?,What are the Seven Wonders of the World?,0
1523,3031,3032,When will I start the preparation of ilts?,How does one look up a thing in Diagnostic and Statistical Manual of Mental Disorders (DSM) if the book costs 250 dollars?,0
1524,3033,3034,How do you know if someone is doing black magic on you?,How do you know by looking at someone that they do black magic?,0
1525,3035,3036,"What are the lyrics to ""Vivre Sans Temps Mort"" by Double Dagger?",What is your favorite top 10 list of “Sun” songs?,0
1526,3037,3038,"In 2 days, how should I prepare for Mu Sigma?",What is the best way to prepare for Mu Sigma?,0
1527,3039,3040,Is MITID a good institute for filmmaking?,Is Edupristine a good institute for SAP Learning?,0
1528,3041,3042,Is it defeatist to stop the war on drugs?,What can we do to stop the war on drugs?,0
1529,3043,3044,"What's it like to find a picture of you, friends, or family on a ""funny/awkward"" photo site?",What a picture or photo that makes you think a lot when you see it?,0
1530,3045,3046,What are the disadvantages of using Firebase as backend for mobile app?,"Which is better to create backend for mobile web app, Stamplay or Firebase?",0
1531,3047,3048,"How long will the Pokémon GO ""fever"" will last?",How long you thing this Pokémon GO trend will last?,1
1532,3049,3050,How do I my epf account no I have my uan?,"How do I reset my password, If I have forgot it & also have no access to the email associated with my Quora account?",0
1533,3051,3052,How do I address Dr. Richard Muller if I meet him? Do I use the German pronunciation with umlaut or the simple English one?,What does it mean when my boyfriend calls me sexy?,0
1534,3053,3054,How is the syndrome for the hamming code interpreted?,"What the heck does ""enter access code"" mean?",0
1535,3055,3056,What are some of the most misheard song lyrics of all time?,What are some of your favorite misheard song lyrics?,1
1536,3057,3058,Which car services are available in Nashville? How good are they compared to taxis and relative to each other?,Which car services are available in Philadelphia? How good are they compared to taxis and relative to each other?,0
1537,3059,3060,What are some cheap options to ship products from India to the USA?,"How do I ship 100 kgs of luggage (clothes) from the USA to India, within $150?",0
1538,3061,3062,"How close are we to World War Three, and how bad would it be?",How close is a World War III?,1
1539,3063,3064,Will TCS terminate in training period?,How is TCS training period?,0
1540,3065,3066,How can I improve my writing skills and blog style?,How can I improve my writing skills for writing a book?,1
1541,3067,3068,What is the concept of sustainable development?,What is sustainable development?,1
1542,3069,3070,EMTs and Paramedics: How does one treat a gunshot wound?,How do you treat gunshot wounds?,1
1543,3071,3072,What kind of phone does Linus Sebastian from linustechtips use?,I've been using my phone too much lately. I feel like I have aquired ADHD from using my phone too much. What do I do?,0
1544,3073,3074,How did Donald Trump become president?,How did Donald Trump win despite projections that he would fail?,1
1545,3075,3076,Where do nuclear reactions occur in the sun? Why do they happen?,What causes nuclear reactions in the Sun?,1
1546,3077,3078,Which is better car Honda Jazz or Volkswagen polo?,Are Hondas or Accuras better cars? Why?,0
1547,3079,3080,What is the most effective treatment for acne scars?,Is there an effective treatment for acne?,0
1548,3081,3082,Is a career in A*STAR in Singapore really worth it?,I am a Computer Science student in the UK - is it worth attending Echelon 2012 in Singapore?,0
1549,3083,3084,"I sent a gift to a potential mentor and followed up 4 days later. Still no response, should I show up to to his next event? What would you do? Ty :)",Why is the analog computer faster than digital?,0
1550,3085,3086,What's the first thing you do after you wake up?,What's the one thing you think about when you wake up?,1
1551,3087,3088,G. W. Bush Presidency (2001–09): Why was Donald Rumsfeld fired in 2006?,"In your sincere and respectful opinion, how should President George W. Bush reengage society (community, country, the world)?",0
1552,3089,3090,Should I shave my head?,What should I do after shaving my head?,0
1553,3091,3092,How do we forget any Wi-Fi in Windows 10?,How do I fix Windows 10 Wi-Fi disconnecting issue?,0
1554,3093,3094,I am stuck between Electrical Engineering and Pre-Med. Any advice?,Is vBulletin 5 Connect SEO really not performing well?,0
1555,3095,3096,How do I apporach people in my classes if I didnt introduce myself in the first month of university when everyone else already has friends?,How can I help myself as I start stammering when I speak in front of a crowd (my class)?,0
1556,3097,3098,I want to chat with my friend but I don't know what to talk about?,"If the average British person doesn't care about carrying weapons for self defence, why do U.S. gun lobby and people still write about it?",0
1557,3099,3100,"What are the practical applications of fork(), vfork(), exec() and clone()?",How do I design a Telescopic fork?,0
1558,3101,3102,What are the main uses of a computer network?,What is computer networking?,1
1559,3103,3104,What is the cost of running an arcade game machine per hour in today's value?,Was there ever a Doom II arcade machine?,0
1560,3105,3106,What do Pakistani people think about the Uri attack on 18th September 2016?,What do Pakistani residents think of Uri attack?,1
1561,3107,3108,Does Spock finally die in the Wrath of Khan or in Shatnerverse (Captain's Blood)?,How did Genghis Khan die?,0
1562,3109,3110,Why does Donald Trump have orange skin?,Does Donald Trump have hereditary hemochromatosis? It causes bronzed skin and encephalopathy.,0
1563,3111,3112,Are animals capable of feeling/experiencing emotions unknown to humans?,Do animals have the same emotions as humans?,1
1564,3113,3114,What are the ways in which I can improve my handwriting?,How can I have good handwriting?,1
1565,3115,3116,What do you wish Americans would learn before visiting Germany?,How can I integrate Bitbucket with Microsoft Azure to build and deploy applications?,0
1566,3117,3118,How would Donald Trump's win affect India?,How will Donald Trump benefit India?,1
1567,3119,3120,What is “India Post Payments Bank”?,What is the procedure for sending a speed post in India?,0
1568,1749,3121,How can changing 500 and 1000 rupee notes end the black money in India?,Will banning Rs.500 and Rs.1000 notes help to solve black money and corruption?,1
1569,3122,3123,Are there any good horror movies in 2016?,What are some best horror movies of 2016?,1
1570,3124,3125,How can I overcome suicidal thoughts?,How do I overcome suicide thoughts?,1
1571,3126,3127,How windy must it be to delay a plane takeoff on an average airliner flight?,"If every passenger on an airliner were to suddenly rush to one end of the plane, would it cause any hindrance to the flight?",0
1572,3128,3129,What is cutoff of gate civil?,What is the BPCL selection criteria for graduate trainees? Do they consider GATE marks to weigh more or do they prefer their own test? What will be GATE cutoff rank for civil 2015 GATE?,0
1573,3130,3131,How much excercise to lower blood pressure?,What are fast ways to lower blood pressure?,0
1574,3132,3133,How can I win in UGC Net Exam in English literature?,What are the name of the books for UGC net English literature?,1
1575,3134,3135,Ancient Hindus sailed from India to Indonesia. Why didn't they sail further to discover Australia? Why didn't Dutch discover Australia from Indonesia?,Why didn't any Indians go to Occupy Australia when it is close to India?,0
1576,3136,3137,"Why is it that if we trust someone blindly, they make us blind one day?",How do I be a silent and impressive person?,0
1577,3138,3139,Can we eat meat with dairy products?,Is eating meat and dairy okay?,1
1578,3140,3141,Will six hours of nightly sleep stunt the growth of a 14-year-old teen?,How much sleep does a 14-year-old teen need?,0
1579,3142,3143,Which are some best books of paper sets for Maharashtra Board class 12th?,Why does the CBSE setting have such tough papers for the class 12 and 10 for board exams?,0
1580,3144,3145,Why did Sirius have to travel north in GOF?,Why did Sirius Black have to travel north in GOF?,1
1581,3146,3147,What does unrooted mean?,What is the unroot of -1?,0
1582,3148,3149,How do I learn to ride a bike as an adult?,How do I ride a bicycle?,0
1583,3150,3151,What is the difference between angel investors and VCs?,What's the difference between a VC and an Angel Investor?,1
1584,3152,3153,What will happen if India and Pakistan gets into war and who will win?,If war occurs between India and Pakistan what will be its effect on the rest of country?,1
1585,3154,3155,What are the best Bible verses to use in wedding ceremonies?,What are some good Bible verses to read before bed?,0
1586,3156,3157,Can we stop global warming?,Do we have any good ways to stop global warming?,1
1587,3158,3159,How can I open a WhatsApp database (crypt8) without using a rooted phone?,Can I use WhatsApp on my laptop and phone?,0
1588,3160,3161,Which is the most awesome way to die?,What are some of the most innovative ways to die?,0
1589,3162,3163,How can I buy a laptop that lasts?,What's the best laptop to buy that will last me all four years of college with minimal problems?,0
1590,3164,3165,"When writing an official letter, if one does't know if a woman is married or not, what prefix should one use to address her?",How do I address a woman if I don't know if she is married or single?,0
1591,3166,3167,Is it OK to read two or three books at the same time? Or just read one book a time?,What are the three must-read books for a first-time startup founder?,0
1592,3168,3169,How do you put notes in a TI-84 Plus?,Do uncircumcised men urinate with a higher flow rate?,0
1593,3170,3171,What is the scope for girls in mechanical engineering?,What is the scope of mechanical engineering for girls?,1
1594,3172,3173,"Which is better, Coke or Pepsi?","What is better, Coke or Pepsi? Why?",1
1595,3174,3175,Why are people addicted to pornography?,Why do people become addicted to pornography?,1
1596,3176,3177,Why is dividing by zero an error or undefined?,Why is division by zero undefined?,1
1597,3178,3179,Why am I afraid to be myself?,Why am I afraid of telling my boyfriend I love him?,0
1598,3180,3181,What are the best and most effective openings in chess?,What are the best opening moves in chess?,1
1599,3182,3183,I am an Indian and want to marry a Pakistani girl. What should I do?,I am a Pakistani girl and want to get admission in IIT in India. What should I do?,0
1600,3184,3185,What do linguists think of the movie Arrival?,What did Dr. Louise tell the the Chinese at the end in Arrival Movie?,0
1601,3186,3187,"What, if anything, is too serious to be joked about?","What, if anything, is too serious to be joked about in life?",1
1602,3188,3189,Re-entry permit expired but Green Card is still valid. Can I go back to study in the USA?,"If I already have a valid V-1 category visitor visa (multiple-entry) to Canada, do I still need another TRV along with a study permit?",0
1603,3190,3191,Is there any way to recover registration number of ICAI?,"I flunked CPT june 2016, but I want to give it again in december . Do I need to register again?",0
1604,3192,3193,"Does Research Publications in high impact factor, peer reviewed International Journals, help you in securing Admissions in Top Graduate schools?",What would happen if your entire city suddenly decided to listen to you?,0
1605,3194,3195,I want to do Masters in Mechanical Engineering. How much difficult it would for someone from other engineering major ?,Will it be difficult to learn coding for mechanical engineers?,0
1606,3196,3197,How much do dental implants cost in India?,"What is the price for dental implants in Delhi, India?",1
1607,3198,3199,What effect will the presence of a conductor between two point charges have on the Coulomb force between them?,How does the presence of a dielectric between two point charges affect the Coulomb force between them?,0
1608,3200,3201,Which wood glue would be best for repairing a cricket bat?,Which glue is best for repairing a cricket bat?,1
1609,3202,3203,What are some things new employees should know going into their first day at Glu Mobile?,What are some things new employees should know going into their first day at T-Mobile?,0
1610,3204,3205,What are the pros and cons of flat feet in babies?,What are the pros and cons of flat feet?,0
1611,3206,3207,What is the term Padfoot in harry Potter?,What does Padfoot mean in Harry Potter?,1
1612,3208,3209,Do you wake up at the same time every day (even weekends)?,Why is it so hard to wake up in the morning?,0
1613,3210,3211,What are some of the most technical questions asked in an interview?,What are the questions asked by an interviewer in technical interview?,1
1614,3212,3213,"What's the difference between amps, watts and volts?",How many volts can a 30 amp ESC handle?,0
1615,3214,3215,"How often should I massage my face with Argan oil? Apparently, Argan oil is extremely beneficial for acne scars, healthy/radiant skins and etc. How often should I massage it onto my face before going to bed? Could I maybe use Argan oil one night and then the Liz Earle repair moisturiser the next to achieve a healthy, young and radiant skin? Plz help with answering :).",Which one should I use: olive oil or coconut oil for acne?,0
1616,3216,3217,Do government engineering colleges follow the 75% attendance rule strictly?,Can I get MITS gwalior with 95 in JEE and 89% in cbse 12?,0
1617,3218,3219,"What are some of the best ""You know you are in Kolkata when.."" statements?","What are some of the best ""you know you are in Lucknow when"" statements?",0
1618,3220,3221,How I will become a Bollywood writer?,How can someone become a Bollywood lyrics writer?,0
1619,3222,3223,What makes great movies incredibly engaging?,What are the best movies with a plot twist?,0
1620,3224,3225,"What is the word for ""luck"" in Japanese?",What does Mr. Moon say in Japanese in Sing (movie)?,0
1621,3226,3227,How reliable is purchasing jewellery from Bluestone?,How do I post gold jewellery from France to the U.K.?,0
1622,3228,3229,Whose questions do you follow the most on a regular basis?,What do you think is the most important and empowering single question a person could ask himself regularly in order to have an extraordinary life?,0
1623,3230,3231,"Why is the U.S. navy traveling over 10,000 miles to threaten Iran's small navy?",What was the investigation outcome of Iran’s seizure of U.S. Navy patrol boats near Farsi Island in January 2016?,0
1624,3232,3233,Can American political parties expel members?,"I hate both US political parties, but I find one to be the lesser of two evils. Does this make me a moderate or a grudging party member?",0
1625,3234,3235,How do I start a plant nursery?,How do I get start plant nursery?,1
1626,3236,3237,How do I avoid vomiting during travel in hilly areas?,Why do people vomit while travelling in buses?,0
1627,3238,3239,Is there an issue with air around planet earth?,Is there an issue with light around planet earth?,0
1628,3240,3241,How was Thich Quang Duc able to burn himself to death without moving a muscle?,Are there any books written on the life of the monk Thich Quang Duc before he killed himself?,0
1629,3242,3243,What is the best quote you’ve heard?,What is a good quote you have heard today?,0
1630,3244,3245,How can I switch my career from as a software engineer to network engineer?,How can I switch a career from an assistant professor to a software engineer?,0
1631,3246,3247,How much does it cost to develop an Android app in India?,How much will it cost to build an Android app in India?,1
1632,3248,3249,Can Brahmins eat eggs?,Why do Brahmins not eat non-vegetarian food?,0
1633,3250,3251,Why is no one building a Skylon?,How can one build plants in space?,0
1634,3252,3253,How do I stop my Yorkie/Corgi mix from chewing my shoes?,How do I prevent my dog from chewing cushions?,1
1635,3254,3255,"If I block a person on WhatsApp and later unblock them, will I receive the messages that were sent to me while the sender was blocked?",Where can I find my blocked contacts messages they sent me?,0
1636,3256,3257,What is a PAN card?,What is the fastest way to get a PAN card?,0
1637,3258,3259,Are egg eaters vegetarians?,Are eggs and milk considered vegetarian or non-vegetarian food?,0
1638,3260,3261,How can I build traffic for my website?,How can I increase traffic on my blog?,1
1639,3262,131,How can i learn java programming language?,What is Java programming? How To Learn Java Programming Language ?,0
1640,3263,3264,How do I prepare for the 10th class ICSE board?,How Can I prepare for Class 10th Board Examinations ICSE?,1
1641,3265,3266,Have you ever had sex with an inidna guy?,How will Bloodraven react if Aegon is a Blackfyre?,0
1642,3267,3268,"Do Trump supporters believe his claims about his tax returns, or do they just not care?","Do Donald Trump supporters actually not care about his tax returns, or do they just tolerate them and look at the bigger picture?",1
1643,3269,3270,Why steel stronger than iron?,Which metal alloys are stronger than steel?,0
1644,3271,3272,"How IT system works in a mall, market places?",What is meant by institutional framework of public policy?,0
1645,3273,3274,Why is ranch dressing so popular?,Is ranch dressing good for you?,0
1646,3275,3276,How I become a good teacher?,How do you become a good teacher?,1
1647,3277,3278,Is there a difference between a Libertarian and a Socially-Liberal Republican?,What is the difference between a libertarian and an authoritarian?,0
1648,3279,3280,How do I tell if somebody is intelligent?,Could small talk be used to test someone's intelligence?,0
1649,3281,3282,How can I get rid of little black spiders in my house?,How can I get rid of white spiders in my house?,0
1650,3283,3284,Are Secret Service agents that protect politicians chosen for duty by their political affiliation?,Can a Secret Service agent's political views interfere with their duty?,1
1651,3285,3286,"People with high IQ often find other people generally ""stupid"" or slow. Can I get few specific examples from daily life?","If stupid people join quora, will that make Quora stupid?",0
1652,3287,3288,Why don't we connect the direct DC power that we get from the solar photo-voltaic to the HVDC transmission?,"Since India has its own one nation one grid concept, why can't we load all of the HVAC lines with a HVDC supply so that transmission losses will lessen considerably?",0
1653,3289,3290,Why didn't Google create the same set of features to follow Paralympics - as they did with the Olympics?,What are the major functions of the liver?,0
1654,3291,3292,What disorders are more common in adult women than men?,Dear respected experts: What are the common symptoms of prostrate disorder in men. And what is the first thing men should do to cure it.?,0
1655,3293,3294,"What is the meaning of automatic route, FIPB route, etc. of FDI? What are the pro and cons of each entry gate within the Indian economy? What is the rationale behind choosing one over the other?",What are the diffences between FDI and FII?,0
1656,3295,3296,Does critical thinking help to burn calories?,Does thinking burns calories?,1
1657,3297,3298,What are some ways to delete my Yahoo Mail account?,What are some ways to delete my Yahoo Mail account permanently?,1
1658,3299,3300,How much bigger can a male bicep muscles get than a female's?,How much bigger can a male's bicep muscles get than a female's?,1
1659,3301,3302,What is the formula of [math](a+b)^3[/math]?,How can I be great at math?,0
1660,3303,3304,How can a company make profit but still be cash flow negative?,How does change in working capital affect a company's cash flow?,0
1661,3305,3306,Will an MBA help my career?,How will an MBA help me?,0
1662,3307,3308,Why does Quora moderation delete questions about Quora moderation?,What kind of questions get deleted on Quora?,0
1663,3309,3310,Does meditation increase creativity?,Can meditation increase creativity?,1
1664,3311,3312,What should I do if my boyfriend never makes time for me?,"What should I do if my girlfriend who promised me that she would never leave me and loved me more than my mom, left me for someone else?",0
1665,3313,3314,What is the thought process behind designing a country's national flag?,How is the story behind your country's national flag?,1
1666,3315,3316,"Miracle: If any, what is the scientific mystery behind the Tilma of the Lady of Guadalupe?",What is the mystery behind the iron piller of Delhi?,0
1667,3317,3318,Is Trump's foreign policy destructive?,How do toppers of class 11 study?,0
1668,3319,3320,How do swimming pool filters work?,How do seawater swimming pools work?,0
1669,3321,3322,How will work and jobs change over the next 10-20 years?,How will work and jobs change in the next 10-20 years?,1
1670,3323,3324,Which tools do start up accelerators use to track the progress of their companies?,Which tools or methods can be used to track as to how often your followers/fans click “like” and comment upon the status updates you/your company post?,0
1671,3325,3326,How does one fall in love?,How is it to fall in love.?,1
1672,3327,3328,What are some interesting differences between American Sign Language and British Sign Language?,"Is it weird for a 'hearing' person with no deaf friends to want to learn the signed language most often used in their country (i.e. British Sign Language for me)? Is it comparative to learning a second vocal language, or would you consider it differently? I'm very interested in 'hearing' and deaf opinions.",0
1673,3329,3330,Does global warming exist?,Is the global warming climate change things for real or a hoax?,1
1674,3331,3332,What IQ will get you a GPA over 3.5?,Can you spot the error in the answer of this question?,0
1675,3333,3334,"If Uber drivers can't see their destination in advance, what happens if they accept an extremely far destination?",When did Uber stop letting drivers see a riders destination?,0
1676,3335,3336,"Marx said ""The religion is opium of the people"". Then how and why Communist parties of India turned anti-Hindu?",Why are the Indian Left called anti-Hindu when communist ideology is against all religions?,0
1677,3337,3338,What is your favorite saying and why?,What are some of your favorite sayings?,1
1678,3339,3340,Why does the caste system persist in India?,Why caste system still survive in India?,1
1679,3341,3342,What is the best way to send a fax from Australia to the United States?,How can I send a fax from Australia to the United States?,1
1680,3343,3344,"What’s the difference between data, information and knowledge in machine systems? Or is there a difference?",What's the difference between a knowledge based system and an expert system?,0
1681,3345,3346,What is the resistance of an ideal voltmeter and ammeter?,What is the actual resistance of ammeter and voltmeter that we use in laboratory?,0
1682,3347,3348,What are some unexpected things first-time visitors to Guinea notice?,What are some unexpected things first-time visitors to Nepal notice?,0
1683,3349,3350,Is it true that the new Rs. 2000 currency notes in India will have a nano GPS chip?,How much is the truth that the new high denomination currency of India are being embedded with GPS nano chips?,1
1684,3351,3352,What is the best app for Berlin public transportation?,What are the best public transportation apps to help me in Berlin?,1
1685,3353,3354,"I'm thinking about making and then publishing a comic series featuring anthropomorphic Pokemon, but how do I do that without copyright infringement?",What do you think of the Doga comic series?,0
1686,3355,3356,"How much, if at all, will cotton khakis shrink when washed?",Why does cotton shrink when washed?,0
1687,3357,3358,"Now that Britain has voted to leave the EU, what happens now?",[Before Brexit vote] What are the pros and cons of Britain exiting/staying in the EU?,0
1688,3359,3360,"Who is your role model, and why?",Who is your role model and why?,1
1689,3361,3362,Have you experienced sleep paralysis? How cruel was that moment?,Do you have an interesting sleep paralysis story to share?,0
1690,3363,3364,"How much money per month is enough to live as a graduate student in Birmingham, UK?","How much money is enough for a student to live in Birmingham, UK?",1
1691,3365,3366,How did you teach your kid not to lie?,What are good ways to teach children not to lie?,1
1692,3367,3368,How does Minerva Schools differ from other for-profit universities in the US?,Why will Minerva succeed when many other for-profit universities have been bad investments?,1
1693,3369,3370,How do I get clients for my software startup company?,What are the best ways to get clients for software startup?,1
1694,3371,3372,Why is plasma considered as the fourth state of matter?,Is plasma considered as the 4th state of matter?,0
1695,3373,3374,How do I delete my questions off Quora?,How do I delete a question from Quora?,1
1696,3375,3376,What was the reason of extinction of the Indus Valley and Harappan civilization?,Who were responsible for the collapse of Indus Valley Civilization?,1
1697,3377,3378,"Is a circle a regular polygon of infinite sides? If yes, then discuss its properties and its interior angles.",Can one say that a circle has infinite sides?,1
1698,3379,3380,How much can a Junior engineer in municipal cooperation or water supply earn at state level government job?,How much does an entry level CS post-graduate earn after completing an MS in a US-based job on average?,0
1699,3381,3382,When did humans start naming themselves? What's the history behind names? Do non-human species use names?,When in history did we start giving people names?,1
1700,3383,3384,Does water filter carbon monoxide?,Is death by carbon monoxide painful? Why or why not?,0
1701,3385,3386,"Can news sites see that I subscribe to their feeds via Feedly? What info do they see? (e-mail address, name, etc).","Why is Quora not having a ""See First"" feature, so that users can choose what fills up their Quora feed?",0
1702,3387,3388,Do humans fear artificial intelligence because it has no soul?,Is it scientifically proven that the soul exists?,0
1703,3389,3390,Why are there so many Muslims in our Bollywood industry?,Why are there so many Muslims in Hindi film industry?,1
1704,3391,3392,How smart is Donald Trump?,Who is Donald Trump's base? Why is he popular? Why are people voting for him? Why do people like and support him?,0
1705,3393,3394,What should you do if you can't remember your iCloud password?,How do I recover my iCloud password?,1
1706,3395,3396,Is Quora display trending now topics based on user's country?,Are trending topics in Quora location specific?,1
1707,3397,3398,"As an international student from India going to Florence, Italy, what are the essentials I must carry?","As an international student from India going to Florence in Italy, what are the essentials I must carry with me?",1
1708,3399,3400,Where can I watch the walking dead season 8 online?,Where can I watch The Walking Dead season 7 online?,0
1709,3401,3402,"What is the difference between all the streaming Hadoop solutions: Flume, Spark (Databricks), Storm, Kafka (Confluent), and Malhar (Datatorrent)?",What are the advantages of using DataTorrent over Storm?,0
1710,3403,3404,What is the best ux resume?,What are the best resume search sites?,0
1711,3405,3406,Which is the best movie download site?,Is there any secrets sites for downloading leaked movies?,0
1712,3407,3408,Can you get high eating a few specks of weed accidentally?,What's the best way to get high from eating weed and why?,1
1713,3409,3410,Which are the oldest bridges in the world?,What's the oldest bridge in the world? How was it designed and built?,1
1714,3411,3412,How can I get satisfied sex?,Is lesbian sex just as good as heterosexual sex?,0
1715,3413,3414,Who will win the World Cup 2014?,"Heading into the start of the tournament, which country is the favorite to win FIFA World Cup 2014? Which team is the strongest?",0
1716,3415,3416,"How do I prepare for city level, TIMES NIE think and learn challenge, Ahmedabad?",What is the process of immigration of Finland which I should be adopted?,0
1717,3417,3418,What are the arguments in favour of/against Jallikattu? What is your personal opinion about it and the way it is being handled by the Centre and SC?,What are some of the best atheistic arguments?,0
1718,3419,3420,How can I get a green card to live and work in the USA?,How can I get a green card?,1
1719,3421,3422,Will a wool sweater after it is washed shrink or get stretched?,Do you have to wear a shirt under a sweater?,0
1720,3423,3424,What should we do to be best software developer?,What is to be done to be a good software developer?,1
1721,3425,3426,I am 20 years old now & a graduate. But I have been at home for the past 2 years & doing nothing. What should be my action plan now?,When did Narendra Modi change his salutation from 'Mitron' to 'Bhaio aur Behno'?,0
1722,3427,3428,What is the average salary of workers in Indonesia with a graduate degree?,What is the average salary of a IIM Calcutta graduate?,0
1723,3429,3430,How can I find a startup mentor?,How do I ask someone to be my mentor?,1
1724,3431,3432,How should mid-distance track runners incorporate weight training to their overall training schedule?,How does one get stronger without gaining mass?,0
1725,3433,3434,Why are there so many Indians on Quora and why are they so annoying?,Why is Quora so popular in India?,0
1726,3435,3436,How are the placements of chemical engineering at NIT Raipur?,How is NIT Raipur for chemical engineering?,0
1727,3437,3438,How can I protect my app name so that it can not be used by other?,Shortcut for c compilation?,0
1728,3439,3440,How do I start my asus computer in safe mode?,Is it always safe to run GPU at OC mode?,0
1729,3441,3442,Is it possible to invent the time machine?,Can we create a time machine?,1
1730,3443,3444,"In the UK, what are the implications of the Immigration Act 2014?","In the UK, what are the implications of the Immigration Act 2016?",0
1731,3445,3446,How long does it typically take for the FDA to review a NDA?,How can I prepare for an FDA audit?,0
1732,3447,3448,How do I make oxalic acid water soluble?,How can we make water soluble polymers?,0
1733,3449,3450,What are the family roots of the Mir family clan?,Have you ever been jealous of a sibling due to comparisons?,0
1734,3451,3452,Harvard College Courses: What is general shopping advice for HBTM classes?,Harvard College Courses: What is general shopping advice for SCRB classes?,0
1735,3453,3454,How good and reliable are OYO rooms?,Did anyone experienced OYO rooms? Is it a good experience with OYO rooms?,1
1736,3455,3456,What is the best app to learn English?,What is the best app for learning English?,0
1737,3457,3458,What are some good articles on the global microbiome?,What is the main reason why Britain is exiting the EU?,0
1738,3459,3460,What websites do you use everyday?,What websites are worth visiting everyday?,1
1739,3461,3462,What are the best books for basic electrical engineering?,Which book should I refer for basic electrical engineering in first year?,0
1740,3463,3464,What are some little things that make you happy?,What's the best thing that make you happy?,1
1741,3465,3466,What are the best earphones under/around Rs.2000 ?,Which are the best earphones under 2000INR or 35USD?,1
1742,3467,3468,Why does Arvind Kejriwal always blame the BJP? Why did he resign from his CM post in Dehli?,Why is Arvind Kejriwal praising Pranab Mukerjee when he has questioned his honesty in the past?,0
1743,3469,3470,How do you define a complete person?,How would you define a person?,0
1744,3471,3472,Why do neoliberals and big corporations feel entitled to free trade agreements when nothing should be for free according to their own logic?,Why do hedge fund managers pay commission to brokerage firms when they have the money to buy the brokerage firms and since they would own the company the could trade for free? Isn't it cheaper to become a stockbroker so you can trade for free.,0
1745,3473,3474,What will happen if Donald Trump wins the election?,What would happen if one of the two candidates of the presidential election died on the morning of the election day?,0
1746,3475,3476,How many cement begs required in100 sq ft of rcc?,"How much cement required for 280 sq. ft with 6"" thickness?",0
1747,3477,3478,What made Tata group chairman Cyrus Mistry to quit?,What was the reason behind the removal of Cyrus P. Mistry from the position of Chairman of The Tata group?,1
1748,3479,3480,Which is the best place to visit in Goa with Friends?,"We are Planning to visit Goa for three days,which are the best places to visit?",1
1749,3481,3482,Who was Koundinya Rishi?,Why is Koundinya Rishi so important?,0
1750,3483,3484,How can plastic wrap be used for weight loss?,Are at-home stomach wraps using the clear plastics wrap in your kitchen safe to use for weight loss?,1
1751,3485,3486,"What is the penalty for driving without a license in Alabama, how do they compare to the penalties in Massachusetts?","What is the penalty for driving without a license in Alabama, how do they compare to the penalties in Maine?",0
1752,2574,3487,Where can I get wonderful flavors on cupcakes in Gold Coast?,Where can I get an unique taste for cupcakes in Gold Coast?,1
1753,3488,3489,What are some indie bands worth listening to?,I am interested in listening to indie music. Which bands can convince me to give it a try?,1
1754,3490,3491,What makes someone fall in love with you?,Can you make someone fall in love with you?,0
1755,3492,3493,How can I feature someone on musical.ly?,How do I get coins on musical.ly?,0
1756,3494,3495,Why was Parks and Recreation a success?,Why is Parks and Recreations so boring?,0
1757,3496,3497,Which top mobile app development companies have built mobile and tablet restaurant apps?,What services companies are good at building outsourced mobile app development teams for startups?,0
1758,3498,3499,What gives you hope during tough times?,What gives you hope for humanity?,1
1759,3500,3501,Will you leave politics after you lose the election?,Will you be okay if your political representative becomes rich or richer after being elected?,0
1760,3502,3503,What's the procedure for an Indian student to get admitted into a MS program in the US?,What's the procedure for an Indian to do higher study (MS) in the US?,1
1761,3504,3505,Do people know if you looked them up on Instagram?,"Instagram (product): How can I login to Instagram if I don't remember the password, and I dont know the email address that was used to set up the account?",0
1762,3506,3507,Can skipping increase your height?,What is the best and fastest way to increase your height?,1
1763,3508,3509,What is light made up of?,What exactly is light made of?,1
